OBJECTID,FID_,Name,x,y,z,value,lon,lat,z
1,0,ANARBE_D1W1,593407.839999999970000,4786507.419999999900000,183,2017.300000000000000,-1.849797260999935,43.225577211000029,183.000000000000000
2,1,ERENOZU,586123.109999999990000,4788021.429999999700000,25,1679.025000000000100,-1.939247640999952,43.240074776000029,25.000000000000000
3,2,ENDARA,599653.000000000000000,4791540.000000000000000,273,2662.000000000000000,-1.772002618999977,43.270084713000074,273.000000000000000
4,3,OIARTZUN,590450.030000000030000,4795472.120000000100000,11,1546.300000000000000,-1.884739560999947,43.306646443000034,11.000000000000000
5,4,LASARTE,579431.410000000030000,4789117.580000000100000,17,1452.779000000000000,-2.021497043999943,43.250678350000044,17.000000000000000
6,5,LEITZARAN,579978.290000000040000,4784421.610000000300000,94,1406.069999999999900,-2.015441913999950,43.208340855000074,94.000000000000000
7,6,BELAUNTZA,577447.189999999940000,4776898.750000000000000,175,1428.287000000000000,-2.047649453999952,43.140872173000048,175.000000000000000
8,7,ARAXES,577470.120000000000000,4773785.750000000000000,120,1580.300000000000000,-2.047802405999960,43.112841482000078,120.000000000000000
9,8,AIZARNAZABAL,561500.640000000010000,4789237.160000000100000,25,1214.000000000000000,-2.242348306999929,43.253431149000050,25.000000000000000
10,9,ALEGIA,572833.170000000040000,4772292.879999999900000,95,1321.229000000000000,-2.104984732999981,43.099859997000067,95.000000000000000
11,0,Goizueta,593080.000000000000000,4780068.000000000000000,323,1922.750000000000000,-1.854918092999981,43.167643777000080,323.000000000000000
12,1,Central Arrambide,591359.000000000000000,4784590.000000000000000,97,2145.074999999999800,-1.875338724999949,43.208565518000057,97.000000000000000
13,2,Artikutza,597721.000000000000000,4785132.000000000000000,313,2380.199999999999800,-1.796940736999943,43.212648372000046,313.000000000000000
14,3,Lesaka-San Anton,599262.000000000000000,4792293.000000000000000,305,2462.400000000000100,-1.776683933999948,43.276915291000080,305.000000000000000
15,4,Lesaka,604260.000000000000000,4789129.000000000000000,65,1785.440000000000100,-1.715701814999932,43.247756423000055,65.000000000000000
16,5,Bera,607332.000000000000000,4792708.000000000000000,50,1854.463999999999900,-1.677172431999964,43.279544497000074,50.000000000000000
17,6,Sunbilla,607941.000000000000000,4779980.000000000000000,117,1721.957000000000100,-1.672158157999945,43.164876027000048,117.000000000000000
18,7,Bertiz,612961.000000000000000,4777420.000000000000000,147,1531.362000000000100,-1.610943890999977,43.141097139000067,147.000000000000000
19,8,Leitza,590659.000000000000000,4771202.000000000000000,668,2238.574999999999800,-1.886145416999966,43.088115752000078,668.000000000000000
20,9,Areso,585395.000000000000000,4770782.000000000000000,524,1890.912000000000000,-1.950873570999931,43.084945510000068,524.000000000000000
21,10,Azpirotz,587771.000000000000000,4763740.000000000000000,548,1707.438000000000100,-1.922798377999925,43.021272173000057,548.000000000000000
